,id,label
0,20800,0
1,20801,0
2,20802,0
3,20803,0
4,20804,0
5,20805,1
6,20806,0
7,20807,0
8,20808,0
9,20809,1
10,20810,1
11,20811,0
12,20812,0
13,20813,1
14,20814,0
15,20815,0
16,20816,0
17,20817,0
18,20818,1
19,20819,0
20,20820,0
21,20821,1
22,20822,0
23,20823,1
24,20824,0
25,20825,0
26,20826,1
27,20827,0
28,20828,0
29,20829,1
30,20830,0
31,20831,1
32,20832,0
33,20833,0
34,20834,0
35,20835,0
36,20836,0
37,20837,0
38,20838,0
39,20839,0
40,20840,0
41,20841,0
42,20842,1
43,20843,0
44,20844,0
45,20845,1
46,20846,0
47,20847,0
48,20848,1
49,20849,0
50,20850,0
51,20851,0
52,20852,0
53,20853,0
54,20854,0
55,20855,0
56,20856,0
57,20857,0
58,20858,0
59,20859,0
60,20860,0
61,20861,0
62,20862,0
63,20863,0
64,20864,0
65,20865,0
66,20866,0
67,20867,0
68,20868,0
69,20869,0
70,20870,0
71,20871,0
72,20872,0
73,20873,0
74,20874,0
75,20875,0
76,20876,0
77,20877,0
78,20878,0
79,20879,0
80,20880,0
81,20881,0
82,20882,0
83,20883,1
84,20884,0
85,20885,0
86,20886,0
87,20887,0
88,20888,0
89,20889,0
90,20890,0
91,20891,0
92,20892,0
93,20893,0
94,20894,1
95,20895,0
96,20896,0
97,20897,0
98,20898,0
99,20899,0
100,20900,0
101,20901,0
102,20902,0
103,20903,0
104,20904,0
105,20905,0
106,20906,0
107,20907,0
108,20908,1
109,20909,1
110,20910,0
111,20911,0
112,20912,0
113,20913,0
114,20914,0
115,20915,0
116,20916,0
117,20917,0
118,20918,0
119,20919,1
120,20920,0
121,20921,0
122,20922,0
123,20923,0
124,20924,0
125,20925,0
126,20926,0
127,20927,0
128,20928,1
129,20929,0
130,20930,0
131,20931,0
132,20932,0
133,20933,0
134,20934,0
135,20935,0
136,20936,0
137,20937,0
138,20938,0
139,20939,0
140,20940,0
141,20941,0
142,20942,1
143,20943,0
144,20944,0
145,20945,0
146,20946,0
147,20947,0
148,20948,0
149,20949,0
150,20950,0
151,20951,0
152,20952,0
153,20953,0
154,20954,0
155,20955,0
156,20956,0
157,20957,0
158,20958,0
159,20959,0
160,20960,1
161,20961,0
162,20962,0
163,20963,0
164,20964,0
165,20965,1
166,20966,0
167,20967,0
168,20968,1
169,20969,0
170,20970,0
171,20971,0
172,20972,0
173,20973,0
174,20974,0
175,20975,0
176,20976,0
177,20977,0
178,20978,0
179,20979,0
180,20980,0
181,20981,0
182,20982,0
183,20983,0
184,20984,0
185,20985,1
186,20986,0
187,20987,0
188,20988,0
189,20989,0
190,20990,0
191,20991,0
192,20992,0
193,20993,0
194,20994,0
195,20995,1
196,20996,0
197,20997,0
198,20998,1
199,20999,0
200,21000,0
201,21001,1
202,21002,0
203,21003,0
204,21004,1
205,21005,0
206,21006,0
207,21007,0
208,21008,0
209,21009,0
210,21010,0
211,21011,0
212,21012,0
213,21013,0
214,21014,0
215,21015,0
216,21016,1
217,21017,0
218,21018,0
219,21019,0
220,21020,0
221,21021,0
222,21022,0
223,21023,0
224,21024,0
225,21025,1
226,21026,0
227,21027,1
228,21028,0
229,21029,0
230,21030,0
231,21031,0
232,21032,0
233,21033,0
234,21034,1
235,21035,0
236,21036,0
237,21037,0
238,21038,0
239,21039,0
240,21040,0
241,21041,0
242,21042,0
243,21043,0
244,21044,0
245,21045,0
246,21046,0
247,21047,1
248,21048,0
249,21049,0
250,21050,0
251,21051,0
252,21052,0
253,21053,0
254,21054,0
255,21055,0
256,21056,0
257,21057,0
258,21058,0
259,21059,1
260,21060,0
261,21061,0
262,21062,0
263,21063,0
264,21064,0
265,21065,0
266,21066,0
267,21067,0
268,21068,0
269,21069,0
270,21070,0
271,21071,0
272,21072,0
273,21073,1
274,21074,0
275,21075,0
276,21076,0
277,21077,0
278,21078,0
279,21079,0
280,21080,0
281,21081,1
282,21082,0
283,21083,1
284,21084,0
285,21085,0
286,21086,0
287,21087,0
288,21088,0
289,21089,0
290,21090,0
291,21091,0
292,21092,0
293,21093,1
294,21094,0
295,21095,0
296,21096,0
297,21097,0
298,21098,0
299,21099,0
300,21100,0
301,21101,0
302,21102,0
303,21103,0
304,21104,1
305,21105,0
306,21106,0
307,21107,0
308,21108,0
309,21109,0
310,21110,0
311,21111,0
312,21112,0
313,21113,0
314,21114,0
315,21115,0
316,21116,0
317,21117,0
318,21118,0
319,21119,0
320,21120,0
321,21121,0
322,21122,0
323,21123,0
324,21124,0
325,21125,0
326,21126,1
327,21127,0
328,21128,0
329,21129,1
330,21130,0
331,21131,0
332,21132,1
333,21133,0
334,21134,0
335,21135,1
336,21136,0
337,21137,0
338,21138,0
339,21139,0
340,21140,0
341,21141,0
342,21142,0
343,21143,0
344,21144,1
345,21145,0
346,21146,0
347,21147,0
348,21148,0
349,21149,0
350,21150,0
351,21151,0
352,21152,0
353,21153,0
354,21154,0
355,21155,1
356,21156,0
357,21157,0
358,21158,0
359,21159,0
360,21160,1
361,21161,0
362,21162,0
363,21163,0
364,21164,1
365,21165,0
366,21166,0
367,21167,0
368,21168,0
369,21169,0
370,21170,0
371,21171,1
372,21172,0
373,21173,0
374,21174,0
375,21175,0
376,21176,0
377,21177,0
378,21178,0
379,21179,0
380,21180,0
381,21181,0
382,21182,0
383,21183,0
384,21184,0
385,21185,0
386,21186,0
387,21187,0
388,21188,0
389,21189,0
390,21190,0
391,21191,1
392,21192,0
393,21193,0
394,21194,0
395,21195,0
396,21196,0
397,21197,0
398,21198,0
399,21199,0
400,21200,0
401,21201,0
402,21202,0
403,21203,0
404,21204,0
405,21205,0
406,21206,0
407,21207,0
408,21208,0
409,21209,0
410,21210,0
411,21211,0
412,21212,0
413,21213,0
414,21214,0
415,21215,0
416,21216,0
417,21217,0
418,21218,0
419,21219,0
420,21220,0
421,21221,0
422,21222,0
423,21223,0
424,21224,0
425,21225,0
426,21226,0
427,21227,0
428,21228,0
429,21229,0
430,21230,0
431,21231,0
432,21232,0
433,21233,0
434,21234,0
435,21235,0
436,21236,0
437,21237,1
438,21238,0
439,21239,0
440,21240,0
441,21241,0
442,21242,0
443,21243,0
444,21244,0
